t,x_true,y_obs,pf_mean
486,-0.466183,0.599165,0.210361
487,0.439861,0.524644,0.299848
488,0.657755,0.915717,0.500407
489,-0.252302,-0.797748,0.00989032
490,-0.0636722,0.0976857,0.0286711
491,-0.319077,-1.22844,-0.419816
492,-0.313179,-0.39678,-0.387281
493,1.05489,3.13724,0.875667
494,0.838491,1.37488,0.988821
495,-0.345163,1.17236,0.992043
496,-0.363973,-1.3872,0.117615
497,-0.878715,-0.156019,0.0205533
498,0.329028,1.41355,0.507478
499,0.90326,2.35019,1.09261
